State,"County, State",Year,Overall Food Insecurity Rate,# of Food Insecure Persons Overall,Food Insecurity Rate among Black Persons (all ethnicities),Food Insecurity Rate among Hispanic Persons (any race),"Food Insecurity Rate among White, non-Hispanic Persons",SNAP Threshold,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall
TX,Crane,2019,0.083,400.0,,0.12,0.08,1.65,0.844,0.156,0.13,190.0,0.76,0.24,2.93,16.51,200000.0
TX,Crockett,2019,0.124,430.0,,,,1.65,0.551,0.449,0.223,190.0,0.62,0.38,2.59,14.6,190000.0
TX,Crosby,2019,0.166,970.0,,0.22,0.1,1.65,0.864,0.136,0.239,380.0,0.91,0.09,3.08,17.37,511000.0
TX,Culberson,2019,0.19,420.0,,0.24,0.17,1.65,0.944,0.056,0.346,220.0,0.82,0.18,2.95,16.63,212000.0
TX,Dallam,2019,0.129,940.0,,0.16,0.1,1.65,0.585,0.415,0.169,390.0,0.7,0.3,2.86,16.14,460000.0
TX,Dallas,2019,0.14,364840.0,0.24,0.16,0.09,1.65,0.736,0.264,0.203,139800.0,0.72,0.28,2.99,16.83,186217000.0
TX,Dawson,2019,0.185,2370.0,,0.25,0.11,1.65,0.719,0.281,0.26,860.0,0.78,0.23,3.05,17.22,1238000.0
TX,Deaf Smith,2019,0.127,2380.0,,0.17,0.09,1.65,0.828,0.172,0.175,1030.0,0.93,0.07,3.04,17.12,1236000.0
TX,Delta,2019,0.181,950.0,,,0.11,1.65,0.505,0.495,0.274,340.0,0.61,0.39,2.78,15.65,451000.0
TX,Denton,2019,0.113,93820.0,0.19,0.14,0.07,1.65,0.392,0.608,0.138,28860.0,0.47,0.53,3.13,17.62,50144000.0
TX,DeWitt,2019,0.148,3010.0,0.2,0.2,0.11,1.65,0.63,0.37,0.192,880.0,0.75,0.25,2.67,15.05,1374000.0
TX,Dickens,2019,0.181,400.0,,0.24,0.12,1.65,0.683,0.317,0.227,100.0,0.73,0.27,3.1,17.48,212000.0
TX,Dimmit,2019,0.201,2100.0,,0.26,0.2,1.65,0.942,0.0580000000000001,0.301,920.0,0.74,0.26,2.38,13.39,853000.0
TX,Donley,2019,0.156,520.0,,,0.11,1.65,0.538,0.462,0.237,160.0,0.66,0.34,3.11,17.54,277000.0
TX,Duval,2019,0.172,1930.0,,0.23,0.12,1.65,0.859,0.141,0.26,760.0,0.94,0.06,2.74,15.45,904000.0
TX,Eastland,2019,0.178,3260.0,,0.22,0.13,1.65,0.672,0.328,0.246,940.0,0.8,0.21,2.87,16.19,1601000.0
TX,Ector,2019,0.115,18420.0,0.23,0.15,0.1,1.65,0.665,0.335,0.15,7280.0,0.72,0.28,2.81,15.85,8857000.0
TX,Edwards,2019,0.131,250.0,,,,1.65,1.0,0.0,0.24,70.0,1.0,0.0,2.49,14.04,106000.0
TX,Ellis,2019,0.115,20050.0,0.18,0.14,0.07,1.65,0.453,0.547,0.168,7840.0,0.52,0.48,2.96,16.71,10161000.0
TX,El Paso,2019,0.146,121760.0,0.2,0.19,0.12,1.65,0.871,0.129,0.208,47770.0,0.83,0.17,2.9,16.34,60347000.0
